batter_name,PA_all,PA_high,wOBA_all,wOBA_high,OPS_all,OPS_high,K%_all,K%_high,ClutchFactor,LI_used_in_flag
aaron judge,679,96.0,0.48909657320872274,0.4676829268292683,1.148925050611742,1.0426897769218424,0.23269513991163476,0.20833333333333334,-0.08266487935575786,False
mike trout,558,95.0,0.3530275229357798,0.3211764705882353,0.796237093871365,0.6798771121351767,0.3172043010752688,0.24210526315789474,-0.0846491814885734,False
masyn winn,538,87.0,0.3021495327102804,0.2720930232558139,0.6726500411071527,0.5880398671096345,0.1895910780669145,0.16091954022988506,-0.08667206409497585,False
michael harris,642,113.0,0.29889589905362773,0.2756880733944954,0.6794951472400899,0.6135321100917431,0.19937694704049844,0.22123893805309736,-0.08892947773765877,False
wilmer flores,465,101.0,0.3136069114470842,0.29,0.6850315163854356,0.6186813186813187,0.1870967741935484,0.2079207920792079,-0.09009705148763693,False
thomas saggese,295,55.0,0.28928571428571426,0.2657407407407407,0.6431880448318804,0.5967443581206067,0.28135593220338984,0.32727272727272727,-0.09147466678659494,False
cedric mullins,498,63.0,0.31002024291497976,0.28688524590163933,0.693463084408716,0.6185534591194968,0.2389558232931727,0.25396825396825395,-0.09319855404276021,False
maikel garcía,669,120.0,0.3538519637462236,0.3302521008403361,0.798984512166121,0.7417948311400032,0.12556053811659193,0.16666666666666666,-0.10140267494885655,False
lawrence butler,632,88.0,0.3184713375796178,0.3005681818181818,0.7075640063380869,0.6829545454545455,0.28322784810126583,0.38636363636363635,-0.10286954644846641,False
carlos santana,478,90.0,0.29143763213530655,0.2691011235955056,0.63021258169441,0.5727272727272728,0.1903765690376569,0.24444444444444444,-0.11161000021962542,False
